RunNo,Counts
1,1398
2,1452
3,1427
4,1451
5,1505
6,1374
7,1421
8,1424
9,1433
10,1454
11,1483
12,1430
13,1412
14,1450
15,1452
16,1390
17,1414
18,1486
19,1414
20,1435
21,1427
22,1471
23,1379
24,1406
25,1456
26,1426
27,1412
28,1423
29,1466
30,1486
31,1461
32,1475
33,1432
34,1429
35,1489
36,1445
37,1491
38,1509
39,1449
40,1442
41,1468
42,1474
43,1442
44,1419
45,1385
46,1479
47,1447
48,1476
49,1403
50,1453
51,1438
52,1409
53,1488
54,1459
55,1434
56,1421
57,1455
58,1491
59,1422
60,1467
61,1515
62,1492
63,1435
64,1464
65,1436
66,1443
67,1441
68,1520
69,1456
70,1434
71,1409
72,1427
73,1479
74,1408
75,1464
76,1462
77,1407
78,1453
79,1439
80,1357
81,1409
82,1538
83,1443
84,1426
85,1438
86,1407
87,1438
88,1424
89,1416
90,1468
91,1468
92,1419
93,1450
94,1468
95,1440
96,1490
97,1401
98,1354
99,1463
100,1462
101,1344
102,1448
103,1428
104,1420
105,1470
106,1404
107,1484
108,1408
109,1457
110,1409
111,1375
112,1442
113,1418
114,1443
115,1461
116,1433
117,1428
118,1448
119,1388
120,1415
121,1419
122,1467
123,1361
124,1413
125,1452
126,1418
127,1488
128,1447
129,1412
130,1445
131,1435
132,1465
133,1452
134,1460
135,1448
136,1420
137,1377
138,1452
139,1443
140,1436
141,1440
142,1520
143,1435
144,1439
145,1436
146,1484
147,1389
148,1407
149,1458
150,1416
151,1412
152,1461
153,1435
154,1467
155,1422
156,1421
157,1455
158,1433
159,1459
160,1460
161,1419
162,1450
163,1403
164,1418
165,1500
166,1484
167,1422
168,1450
169,1411
170,1444
171,1446
172,1388
173,1443
174,1413
175,1479
176,1439
177,1400
178,1430
179,1458
180,1531
181,1434
182,1466
183,1446
184,1395
185,1421
186,1422
187,1442
188,1442
189,1463
190,1434
191,1441
192,1478
193,1489
194,1474
195,1415
196,1433
197,1395
198,1406
199,1473
200,1473